City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
68,Eslov,SE,57.99,8/28/2020 22:58,55.84,13.3,Stensson
69,Suba,PH,83.66,8/28/2020 22:58,10.84,121.01,Casita Bed and Grill
70,Victoria,HK,82.0,8/28/2020 22:58,22.29,114.16,Mini Hotel Central
71,Evensk,RU,52.72,8/28/2020 22:58,61.95,159.23,
72,Port Alfred,ZA,57.22,8/28/2020 22:54,-33.59,26.89,The Halyards Hotel
73,Margate,GB,61.0,8/28/2020 22:58,51.38,1.39,Premier Inn Margate hotel
74,Faanui,PF,76.17,8/28/2020 22:58,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,The Pas,CA,68.0,8/28/2020 22:58,53.83,-101.25,Wescana Inn
76,Kapaa,US,84.2,8/28/2020 22:54,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
77,Kendari,ID,73.74,8/28/2020 22:58,-3.94,122.5,Hotel Wixel
78,Mayumba,GA,74.32,8/28/2020 22:58,-3.43,10.66,LIKWALE LODGE
79,Khatanga,RU,55.49,8/28/2020 22:58,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
80,Broome,US,73.99,8/28/2020 22:58,42.25,-75.83,Chenango Valley State Park
81,Kathmandu,NP,69.8,8/28/2020 22:58,27.72,85.32,Hotel Shanker Kathmandu
82,Oga,IT,61.0,8/28/2020 22:58,46.46,10.35,QC Terme Bagni di Bormio Bagni Nuovi
83,Mandalgovi,MN,51.89,8/28/2020 22:58,45.76,106.27,В.Ганбат
84,Bredasdorp,ZA,48.2,8/28/2020 22:55,-34.53,20.04,Bredasdorp Country Manor
85,Eirunepe,BR,85.44,8/28/2020 22:58,-6.66,-69.87,Pousada Novo Acre
86,San-Pedro,CI,74.66,8/28/2020 22:58,4.75,-6.64,Hotel Maria
87,Cerchezu,RO,69.8,8/28/2020 22:58,43.82,28.1,
88,Ponta Do Sol,PT,75.2,8/28/2020 22:58,32.67,-17.1,Hotel do Campo
89,Kangalassy,RU,42.8,8/28/2020 22:58,62.35,129.96,
90,Berdigestyakh,RU,54.46,8/28/2020 22:58,62.1,126.7,
91,Arraial Do Cabo,BR,71.6,8/28/2020 22:57,-22.97,-42.03,Pousada Porto Praia
92,Garden City,US,73.4,8/28/2020 22:53,42.33,-83.33,Quality Inn & Suites Banquet Center
